edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,id,satisfaccion_entorno,implicacion,nivel_laboral,puesto,sastisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono,scoring
60,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,549,Low,High,5,Manager,High,Married,19566,5,No,11,Excellent,Very High,0,33,5,29,11,10,234792,49306.32,0.046153846153846156
46,No,Travel_Rarely,Research & Development,18,Bachelor,Medical,550,High,High,2,Manufacturing Director,High,Divorced,4810,2,No,14,Excellent,High,1,19,5,10,0,8,57720,11774.88,0.015384615384615385
42,No,Travel_Frequently,Research & Development,28,Bachelor,Technical Degree,551,Very High,High,2,Healthcare Representative,High,Married,4523,0,No,11,Excellent,Very High,3,7,4,6,0,4,54276,11072.304,0.08461538461538462
24,Yes,Travel_Rarely,Sales,1,Bachelor,Technical Degree,554,Low,High,1,Sales Representative,High,Single,3202,1,Yes,16,Excellent,Medium,0,6,4,5,1,4,38424,7569.528,0.8384615384615385
34,Yes,Travel_Frequently,Sales,6,Below College,Marketing,555,Very High,Low,1,Sales Representative,Low,Divorced,2351,0,No,16,Excellent,Very High,1,3,3,2,1,0,28212,4542.1320000000005,0.7769230769230769
38,No,Travel_Frequently,Research & Development,2,Bachelor,Life Sciences,556,Very High,High,1,Laboratory Technician,High,Married,1702,1,Yes,23,Outstanding,High,1,1,3,1,0,0,20424,3288.264,0.5615384615384615
40,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,558,High,High,5,Manager,High,Married,18041,0,No,14,Excellent,Very High,0,21,2,20,1,12,216492,45463.32,0
26,No,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,560,Low,High,1,Research Scientist,High,Divorced,2886,1,No,22,Outstanding,Medium,2,3,3,3,0,2,34632,6822.504,0.015384615384615385
30,No,Non-Travel,Research & Development,3,Bachelor,Life Sciences,562,High,High,1,Laboratory Technician,High,Married,2097,4,No,15,Excellent,High,1,9,3,5,1,4,25164,4051.404,0.16153846153846155
29,No,Travel_Rarely,Research & Development,3,College,Medical,564,Medium,Medium,3,Research Director,Medium,Married,11935,1,No,18,Excellent,High,0,10,2,10,0,7,143220,30076.199999999997,0.023076923076923078
29,Yes,Travel_Rarely,Research & Development,25,College,Technical Degree,565,High,Medium,1,Research Scientist,Medium,Married,2546,5,No,16,Excellent,Medium,0,6,2,2,1,1,30552,6018.744000000001,0.8307692307692308
19,Yes,Travel_Rarely,Human Resources,2,College,Technical Degree,566,Low,Medium,1,Human Resources,Medium,Single,2564,1,No,12,Excellent,High,0,1,3,1,0,0,30768,6061.296,0.8461538461538461
30,No,Non-Travel,Sales,22,Bachelor,Other,567,High,High,3,Sales Executive,High,Married,8412,0,No,11,Excellent,High,0,10,3,9,7,8,100944,21198.239999999998,0.07692307692307693
57,No,Travel_Rarely,Sales,29,College,Marketing,568,Low,Medium,4,Manager,Medium,Divorced,14118,3,No,12,Excellent,High,1,32,3,1,0,0,169416,35577.36,0.015384615384615385
50,No,Travel_Rarely,Research & Development,29,College,Life Sciences,569,Medium,Medium,4,Manager,Medium,Married,17046,0,No,15,Excellent,Medium,1,28,2,27,15,7,204552,42955.92,0.038461538461538464
30,No,Non-Travel,Research & Development,2,Bachelor,Medical,571,High,High,1,Laboratory Technician,High,Single,2564,0,No,14,Excellent,High,0,12,2,11,6,7,30768,6061.296,0.06923076923076923
60,No,Travel_Frequently,Sales,28,College,Marketing,573,High,Medium,3,Sales Executive,Medium,Married,10266,4,No,19,Excellent,Very High,0,22,5,18,13,11,123192,25870.32,0.12307692307692308
47,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,574,Low,High,2,Manufacturing Director,High,Divorced,5070,5,No,13,Excellent,High,3,20,2,5,0,4,60840,12411.359999999999,0.11538461538461539
46,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,575,Low,High,4,Research Director,High,Married,17861,6,No,13,Excellent,High,0,26,2,3,0,1,214332,45009.72,0.007692307692307693
35,No,Travel_Rarely,Research & Development,22,Below College,Life Sciences,577,Very High,Low,1,Laboratory Technician,High,Single,4230,0,No,15,Excellent,High,0,6,2,5,4,3,50760,10355.039999999999,0.15384615384615385
54,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,578,High,High,2,Laboratory Technician,High,Single,3780,7,No,11,Excellent,High,0,19,3,1,0,0,45360,8935.92,0.03076923076923077
34,No,Travel_Rarely,Research & Development,2,College,Life Sciences,579,Very High,Medium,1,Research Scientist,Medium,Divorced,2768,3,No,12,Excellent,High,1,14,3,7,5,7,33216,6543.552000000001,0.015384615384615385
46,No,Travel_Rarely,Sales,10,College,Marketing,580,High,Medium,3,Sales Executive,Medium,Married,9071,2,Yes,19,Excellent,High,1,15,3,3,1,2,108852,22858.92,0.1
31,No,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,581,High,High,3,Manufacturing Director,High,Divorced,10648,1,No,25,Outstanding,Very High,1,13,6,13,0,8,127776,26832.96,0.015384615384615385
33,Yes,Travel_Rarely,Research & Development,15,Bachelor,Medical,582,Medium,High,3,Manager,High,Married,13610,7,Yes,12,Excellent,Very High,0,15,2,7,7,7,163320,34297.2,0.6230769230769231
33,Yes,Travel_Rarely,Research & Development,10,Below College,Medical,584,Low,Low,1,Laboratory Technician,Low,Divorced,3408,7,No,13,Excellent,Low,3,8,2,4,1,3,40896,8056.512000000001,0.7769230769230769
30,No,Travel_Rarely,Sales,7,Bachelor,Marketing,585,Very High,High,1,Sales Representative,High,Single,2983,0,No,14,Excellent,Low,0,4,3,3,1,2,35796,7051.812,0.1
35,No,Travel_Rarely,Research & Development,16,Bachelor,Life Sciences,586,Very High,High,3,Healthcare Representative,High,Married,7632,4,Yes,12,Excellent,High,0,10,2,8,0,0,91584,19232.64,0.038461538461538464
31,Yes,Travel_Frequently,Research & Development,20,Bachelor,Life Sciences,587,Low,High,3,Healthcare Representative,High,Married,9824,3,No,12,Excellent,Low,0,12,2,1,0,0,117888,24756.48,0.2230769230769231
34,Yes,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,590,Medium,High,3,Human Resources,High,Divorced,9950,9,Yes,15,Excellent,High,3,11,2,3,0,2,119400,25074,0.7538461538461538
42,No,Travel_Frequently,Research & Development,5,Bachelor,Other,591,Medium,High,1,Laboratory Technician,High,Married,2093,4,No,17,Excellent,Very High,1,8,4,2,2,0,25116,4043.676,0.2076923076923077
36,No,Non-Travel,Sales,10,Bachelor,Medical,592,Medium,High,3,Sales Executive,High,Single,9980,1,No,14,Excellent,Very High,0,10,3,10,9,7,119760,25149.6,0.05384615384615385
22,Yes,Travel_Frequently,Research & Development,4,College,Technical Degree,593,High,Medium,1,Laboratory Technician,Medium,Single,3894,5,No,16,Excellent,High,0,4,3,2,1,2,46728,9205.416000000001,0.7769230769230769
48,No,Travel_Rarely,Sales,2,Bachelor,Marketing,595,Medium,High,2,Sales Executive,High,Married,4051,2,No,14,Excellent,Low,1,14,2,9,6,7,48612,9576.564,0.007692307692307693
55,No,Travel_Rarely,Sales,18,Bachelor,Life Sciences,597,Low,High,4,Manager,High,Single,16835,3,No,23,Outstanding,Very High,0,37,2,10,7,7,202020,42424.2,0.007692307692307693
41,No,Non-Travel,Sales,10,Bachelor,Life Sciences,599,Very High,High,2,Sales Executive,High,Single,6230,7,No,14,Excellent,Very High,0,16,3,14,1,10,74760,15251.039999999999,0.015384615384615385
35,No,Travel_Rarely,Sales,1,Bachelor,Marketing,600,Medium,High,2,Sales Executive,High,Married,4717,9,No,11,Excellent,High,0,15,2,11,6,9,56604,11547.215999999999,0.09230769230769231
40,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,601,Medium,High,4,Manufacturing Director,High,Single,13237,7,No,15,Excellent,High,0,22,3,20,5,13,158844,33357.24,0.038461538461538464
39,No,Travel_Frequently,Research & Development,8,Bachelor,Life Sciences,602,High,High,1,Laboratory Technician,High,Married,3755,1,No,11,Excellent,Low,1,8,3,8,0,7,45060,8876.82,0.038461538461538464
31,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,604,Medium,High,2,Sales Executive,High,Single,6582,4,Yes,13,Excellent,High,0,10,2,6,0,5,78984,16586.64,0.13076923076923078
42,No,Travel_Rarely,Research & Development,24,Bachelor,Medical,605,Very High,High,3,Manufacturing Director,High,Married,7406,1,Yes,21,Outstanding,Very High,1,10,5,10,5,8,88872,18663.12,0.03076923076923077
45,No,Travel_Rarely,Sales,2,Bachelor,Other,606,Very High,High,2,Sales Executive,High,Married,4805,0,No,19,Excellent,Medium,1,9,3,8,3,7,57660,11762.64,0.015384615384615385
26,Yes,Travel_Frequently,Human Resources,17,Bachelor,Life Sciences,608,Medium,High,1,Human Resources,High,Divorced,2741,0,Yes,11,Excellent,Medium,1,8,2,7,1,0,32892,6479.724,0.7
29,No,Travel_Rarely,Research & Development,19,Bachelor,Technical Degree,611,Very High,High,2,Manufacturing Director,High,Divorced,4262,4,No,12,Excellent,Medium,2,8,2,3,1,2,51144,10433.376,0.038461538461538464
33,No,Travel_Rarely,Research & Development,1,Master,Medical,612,Low,Very High,4,Research Director,Very High,Divorced,16184,4,No,19,Excellent,High,1,10,2,6,0,5,194208,40783.68,0
31,No,Travel_Rarely,Sales,7,College,Life Sciences,613,High,Medium,3,Manager,Medium,Divorced,11557,9,No,21,Outstanding,High,1,10,3,5,0,1,138684,29123.64,0.046153846153846156
18,Yes,Travel_Frequently,Sales,5,Bachelor,Marketing,614,Medium,High,1,Sales Representative,High,Single,1878,1,Yes,14,Excellent,Very High,0,0,3,0,0,0,22536,3628.2960000000003,0.9153846153846154
40,No,Non-Travel,Sales,28,Bachelor,Other,615,High,Low,3,Sales Executive,Low,Divorced,10932,3,No,15,Excellent,High,1,20,2,1,0,1,131184,27548.64,0.06153846153846154
41,No,Non-Travel,Research & Development,2,College,Other,616,Low,Medium,2,Healthcare Representative,Medium,Single,6811,2,Yes,17,Excellent,Low,0,10,3,8,0,7,81732,17163.72,0.12307692307692308
26,No,Travel_Rarely,Sales,29,Bachelor,Medical,618,Low,High,2,Sales Executive,High,Divorced,4306,5,No,12,Excellent,Low,2,8,5,0,0,0,51672,10541.088,0.4
35,No,Travel_Rarely,Sales,1,Bachelor,Medical,620,Low,High,2,Sales Executive,High,Single,4859,1,No,16,Excellent,Very High,0,5,3,5,0,3,58308,11894.831999999999,0.06153846153846154
34,No,Travel_Rarely,Sales,21,Master,Life Sciences,621,Very High,Very High,2,Sales Executive,Very High,Single,5337,1,No,12,Excellent,Very High,0,10,3,10,5,7,64044,13064.975999999999,0.1076923076923077
26,Yes,Travel_Rarely,Research & Development,24,Below College,Technical Degree,622,High,Low,1,Laboratory Technician,Low,Single,2340,1,Yes,18,Excellent,Medium,0,1,3,1,0,0,28080,4520.88,0.9769230769230769
37,No,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,623,Medium,High,3,Manufacturing Director,High,Single,7491,4,No,17,Excellent,Very High,0,12,3,6,1,2,89892,18877.32,0.015384615384615385
46,No,Travel_Frequently,Research & Development,18,Bachelor,Medical,624,Low,High,3,Healthcare Representative,High,Married,10527,5,No,11,Excellent,Very High,0,28,3,2,1,2,126324,26528.039999999997,0.08461538461538462
41,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,625,Medium,High,4,Manager,High,Married,16595,7,No,16,Excellent,Medium,1,22,2,18,11,8,199140,41819.4,0
37,No,Non-Travel,Sales,9,Bachelor,Medical,626,Low,High,3,Sales Executive,High,Divorced,8834,1,No,13,Excellent,Very High,1,9,6,9,7,7,106008,22261.68,0.015384615384615385
52,No,Travel_Rarely,Research & Development,6,Bachelor,Technical Degree,630,Very High,High,2,Research Scientist,High,Divorced,5577,3,Yes,12,Excellent,Medium,2,18,3,10,6,9,66924,13652.496,0.038461538461538464
32,Yes,Non-Travel,Sales,11,Master,Other,631,Very High,Very High,2,Sales Executive,Very High,Married,4707,8,No,12,Excellent,Very High,0,6,2,4,1,2,56484,11522.735999999999,0.6076923076923076
24,No,Travel_Frequently,Sales,24,Bachelor,Medical,632,Very High,High,1,Sales Representative,High,Married,2400,0,No,13,Excellent,High,2,3,3,2,2,1,28800,4636.8,0.4461538461538462
38,No,Travel_Rarely,Research & Development,10,Bachelor,Medical,634,High,High,2,Healthcare Representative,High,Married,9824,3,No,19,Excellent,High,1,18,4,1,0,0,117888,24756.48,0
37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,635,Medium,High,2,Manufacturing Director,High,Married,6447,6,No,12,Excellent,Medium,1,8,2,6,4,3,77364,16246.439999999999,0.038461538461538464
49,No,Travel_Rarely,Research & Development,18,College,Life Sciences,638,Very High,Medium,5,Research Director,Medium,Divorced,19502,1,Yes,17,Excellent,High,1,31,5,31,0,9,234024,49145.04,0.015384615384615385
24,No,Travel_Rarely,Research & Development,23,Master,Medical,639,Medium,Very High,1,Research Scientist,Very High,Married,2725,1,Yes,11,Excellent,Medium,2,6,3,6,1,4,32700,6441.9000000000005,0.26153846153846155
26,No,Travel_Rarely,Sales,28,Bachelor,Marketing,641,Low,High,2,Sales Executive,High,Married,6272,1,No,20,Outstanding,Very High,2,6,5,5,1,4,75264,15805.439999999999,0.1076923076923077
24,No,Travel_Rarely,Research & Development,17,College,Other,643,Very High,Medium,1,Laboratory Technician,Medium,Married,2127,1,No,21,Outstanding,Very High,1,1,2,1,0,0,25524,4109.3640000000005,0.5692307692307692
50,No,Travel_Frequently,Human Resources,3,Bachelor,Medical,644,Low,High,5,Manager,High,Married,18200,1,No,11,Excellent,High,1,32,2,32,10,7,218400,45864,0.19230769230769232
25,No,Travel_Rarely,Sales,13,Bachelor,Medical,645,Medium,High,1,Sales Representative,High,Married,2096,1,No,11,Excellent,High,0,7,1,7,0,6,25152,4049.472,0.34615384615384615
24,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,647,Low,High,1,Laboratory Technician,High,Married,2886,1,Yes,16,Excellent,Very High,1,6,4,6,1,2,34632,6822.504,0.46923076923076923
30,Yes,Travel_Frequently,Sales,12,College,Life Sciences,648,Medium,Medium,1,Sales Representative,Medium,Married,2033,1,No,18,Excellent,High,1,1,2,1,0,0,24396,3927.7560000000003,0.8153846153846154
34,No,Travel_Rarely,Research & Development,1,College,Life Sciences,649,Medium,Medium,1,Research Scientist,High,Married,3622,1,Yes,13,Excellent,Very High,1,6,3,6,1,3,43464,8562.408000000001,0.023076923076923078
31,Yes,Travel_Rarely,Sales,13,Bachelor,Medical,650,Medium,High,2,Sales Executive,High,Divorced,4233,2,No,17,Excellent,High,0,9,2,3,1,2,50796,10362.384,0.7153846153846154
35,No,Travel_Rarely,Research & Development,25,Bachelor,Other,652,Low,Medium,2,Laboratory Technician,Medium,Single,3681,4,No,14,Excellent,Very High,0,9,3,3,0,2,44172,8701.884,0.06153846153846154
31,No,Travel_Rarely,Sales,6,Master,Medical,653,Low,Very High,2,Sales Executive,Very High,Divorced,5460,4,No,22,Outstanding,Very High,2,13,4,7,5,7,65520,13366.08,0.038461538461538464
27,No,Travel_Rarely,Research & Development,6,College,Medical,655,Low,Medium,1,Research Scientist,Medium,Divorced,2187,0,No,12,Excellent,High,2,6,5,5,0,3,26244,4225.284000000001,0.15384615384615385
37,No,Travel_Rarely,Sales,2,Bachelor,Marketing,656,Very High,High,2,Sales Executive,High,Married,9602,4,Yes,11,Excellent,High,1,17,3,3,1,0,115224,24197.04,0.08461538461538462
20,No,Travel_Rarely,Research & Development,1,College,Life Sciences,657,Very High,Medium,1,Research Scientist,Medium,Single,2836,1,No,13,Excellent,Very High,0,1,0,1,0,0,34032,6704.304,0.3769230769230769
42,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,659,High,High,2,Healthcare Representative,High,Married,4089,1,No,13,Excellent,Medium,2,10,4,10,2,2,49068,9666.396,0
43,No,Travel_Rarely,Research & Development,6,College,Other,661,Medium,Medium,4,Research Director,Medium,Divorced,16627,4,Yes,14,Excellent,High,1,21,3,1,0,0,199524,41900.04,0.038461538461538464
38,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,662,High,High,1,Research Scientist,High,Single,2619,3,No,17,Excellent,Very High,0,8,3,0,0,0,31428,6191.316000000001,0.13076923076923078
43,No,Travel_Frequently,Research & Development,9,Bachelor,Medical,663,Very High,High,2,Laboratory Technician,High,Divorced,5679,3,Yes,13,Excellent,Medium,1,10,3,8,4,7,68148,13902.192,0.05384615384615385
48,No,Travel_Rarely,Research & Development,1,College,Life Sciences,664,Very High,Medium,4,Manager,Medium,Married,15402,7,No,11,Excellent,Low,1,21,3,3,0,2,184824,38813.04,0
44,No,Travel_Rarely,Human Resources,1,College,Life Sciences,665,Low,Medium,2,Human Resources,Medium,Single,5985,4,No,11,Excellent,Medium,0,10,1,2,0,2,71820,14651.279999999999,0.023076923076923078
34,No,Travel_Rarely,Sales,14,Bachelor,Technical Degree,666,High,High,1,Sales Representative,High,Divorced,2579,1,Yes,18,Excellent,Very High,2,8,3,8,0,6,30948,6096.756,0.33076923076923076
27,Yes,Travel_Rarely,Sales,2,Bachelor,Marketing,667,High,High,1,Sales Representative,High,Divorced,3041,0,No,11,Excellent,Medium,1,5,3,4,0,2,36492,7188.924,0.7230769230769231
21,No,Travel_Rarely,Sales,22,Bachelor,Technical Degree,669,High,High,1,Sales Representative,High,Single,3447,1,No,11,Excellent,High,0,3,2,3,1,2,41364,8148.7080000000005,0.19230769230769232
44,No,Travel_Rarely,Research & Development,3,Bachelor,Other,671,Very High,High,5,Manager,High,Married,19513,4,Yes,12,Excellent,Low,1,26,2,2,0,1,234156,49172.759999999995,0.03076923076923077
22,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,675,Low,High,1,Research Scientist,High,Married,2773,0,No,20,Outstanding,Very High,0,3,3,2,2,2,33276,6555.372,0.1
33,No,Travel_Rarely,Sales,8,Bachelor,Marketing,677,High,High,2,Sales Executive,High,Divorced,7104,0,No,12,Excellent,Very High,0,6,3,5,1,2,85248,17902.079999999998,0.046153846153846156
32,No,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,679,Low,High,2,Research Scientist,High,Married,6322,1,Yes,12,Excellent,Very High,1,6,2,6,0,5,75864,15931.439999999999,0.05384615384615385
30,No,Travel_Frequently,Research & Development,3,Bachelor,Medical,680,High,High,1,Research Scientist,High,Divorced,2083,1,No,20,Outstanding,High,1,1,2,1,0,0,24996,4024.356,0.15384615384615385
53,No,Travel_Rarely,Sales,1,Bachelor,Medical,682,Very High,High,2,Sales Executive,High,Single,8381,7,No,20,Outstanding,Very High,0,18,2,14,8,10,100572,21120.12,0.023076923076923078
34,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,683,Medium,High,1,Research Scientist,High,Married,2691,1,No,12,Excellent,Very High,1,10,4,10,8,8,32292,6361.524,0.06153846153846154
45,Yes,Travel_Frequently,Sales,26,Bachelor,Life Sciences,684,Low,High,2,Sales Executive,High,Married,4286,2,No,14,Excellent,Very High,2,5,4,1,0,0,51432,10492.127999999999,0.6692307692307692
26,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,686,High,High,1,Laboratory Technician,High,Married,2659,1,Yes,13,Excellent,High,1,3,2,3,0,2,31908,6285.876,0.12307692307692308
37,No,Travel_Rarely,Research & Development,3,Bachelor,Other,689,High,High,3,Manufacturing Director,High,Married,9434,1,No,15,Excellent,High,1,10,2,10,7,8,113208,23773.68,0
29,No,Travel_Rarely,Sales,3,Bachelor,Medical,690,Medium,High,2,Sales Executive,High,Married,5561,1,No,14,Excellent,Low,1,6,5,6,1,2,66732,13613.328,0.03076923076923077
35,No,Travel_Rarely,Research & Development,6,Below College,Life Sciences,691,Medium,Low,2,Research Scientist,Low,Single,6646,1,No,13,Excellent,Medium,0,17,3,17,11,8,79752,16747.92,0.08461538461538462
33,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,692,High,High,2,Healthcare Representative,High,Divorced,7725,3,No,23,Outstanding,High,1,15,2,13,4,7,92700,19467,0.015384615384615385
54,No,Travel_Rarely,Human Resources,19,Bachelor,Medical,698,High,High,3,Human Resources,High,Married,10725,2,No,15,Excellent,High,1,16,1,9,7,1,128700,27027,0.06923076923076923
36,No,Travel_Rarely,Research & Development,9,College,Medical,699,Medium,Medium,2,Manufacturing Director,Medium,Divorced,8847,2,Yes,11,Excellent,High,1,13,2,3,0,2,106164,22294.44,0.007692307692307693
27,No,Travel_Rarely,Research & Development,3,College,Medical,700,Low,Medium,1,Research Scientist,Medium,Single,2045,0,No,13,Excellent,Very High,0,5,0,4,1,1,24540,3950.94,0.13076923076923078
20,Yes,Travel_Rarely,Research & Development,10,Bachelor,Medical,701,Very High,High,1,Research Scientist,High,Single,1009,1,Yes,11,Excellent,Very High,0,1,5,1,1,1,12108,1949.3880000000001,0.8384615384615385
33,Yes,Travel_Frequently,Research & Development,3,Bachelor,Life Sciences,702,Low,High,1,Research Scientist,High,Single,3348,1,Yes,11,Excellent,Low,0,10,3,10,9,7,40176,7914.6720000000005,0.8076923076923077
35,No,Non-Travel,Research & Development,3,College,Life Sciences,704,High,Medium,1,Laboratory Technician,Medium,Married,1281,1,No,18,Excellent,High,2,1,3,1,0,0,15372,2474.8920000000003,0.08461538461538462
23,No,Travel_Rarely,Research & Development,4,Master,Medical,705,Low,Very High,1,Research Scientist,High,Married,2819,2,No,16,Excellent,Low,1,5,3,3,0,2,33828,6664.116,0.046153846153846156
25,No,Travel_Rarely,Sales,8,Master,Life Sciences,707,Very High,Very High,2,Sales Executive,Very High,Married,4851,0,No,22,Outstanding,High,1,4,4,3,1,2,58212,11875.248,0.03076923076923077
38,No,Travel_Rarely,Sales,7,College,Marketing,709,Very High,Medium,2,Sales Executive,Medium,Single,4028,0,No,20,Outstanding,Low,0,8,2,7,0,5,48336,9522.192000000001,0.046153846153846156
29,No,Travel_Frequently,Research & Development,1,Below College,Life Sciences,710,Medium,Low,1,Research Scientist,Low,Divorced,2720,1,No,18,Excellent,Very High,1,10,5,10,2,8,32640,6430.08,0.03076923076923077
48,No,Travel_Rarely,Sales,2,Master,Marketing,712,Medium,Very High,2,Sales Executive,Very High,Married,8120,3,No,12,Excellent,Very High,0,12,3,2,2,2,97440,20462.399999999998,0.023076923076923078
27,No,Travel_Frequently,Sales,3,Master,Medical,714,Very High,Very High,2,Sales Executive,High,Divorced,4647,1,Yes,20,Outstanding,Medium,2,6,3,6,0,4,55764,11375.856,0.07692307692307693
37,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,715,Very High,Very High,1,Research Scientist,Very High,Single,4680,3,No,17,Excellent,Low,0,4,2,1,0,0,56160,11456.64,0.05384615384615385
50,No,Travel_Rarely,Research & Development,28,Master,Medical,716,Very High,Very High,1,Laboratory Technician,Very High,Married,3221,1,Yes,11,Excellent,High,3,20,3,20,3,8,38652,7614.444,0.15384615384615385
34,No,Travel_Rarely,Research & Development,9,College,Medical,717,Very High,Medium,3,Healthcare Representative,Medium,Single,8621,1,No,14,Excellent,Medium,0,9,3,8,7,7,103452,21724.92,0.038461538461538464
24,Yes,Travel_Rarely,Sales,3,Bachelor,Life Sciences,720,Low,High,2,Sales Executive,High,Single,4577,9,No,14,Excellent,Low,0,4,3,2,2,0,54924,11204.496,0.2923076923076923
39,No,Travel_Rarely,Research & Development,2,College,Technical Degree,721,Very High,Medium,2,Healthcare Representative,Medium,Single,4553,1,No,11,Excellent,Low,0,20,4,20,11,10,54636,11145.743999999999,0.046153846153846156
32,No,Travel_Rarely,Sales,10,Bachelor,Marketing,722,Very High,High,2,Sales Executive,High,Single,5396,1,No,12,Excellent,Very High,0,10,2,10,0,8,64752,13209.408,0.007692307692307693
50,Yes,Travel_Frequently,Sales,8,Bachelor,Technical Degree,723,Medium,High,2,Sales Executive,High,Married,6796,3,Yes,14,Excellent,Low,1,18,4,4,1,3,81552,17125.92,0.12307692307692308
38,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,724,Medium,Very High,2,Healthcare Representative,Very High,Single,7625,0,No,13,Excellent,High,0,10,4,9,1,8,91500,19215,0.007692307692307693
27,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,725,High,High,3,Manufacturing Director,High,Married,7412,1,No,11,Excellent,Very High,0,9,3,9,0,7,88944,18678.239999999998,0.038461538461538464
32,No,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,727,High,High,3,Research Director,High,Single,11159,3,No,15,Excellent,Very High,0,10,6,7,7,7,133908,28120.68,0.015384615384615385
47,No,Travel_Rarely,Sales,14,Bachelor,Marketing,728,Very High,High,2,Sales Executive,High,Single,4960,2,No,12,Excellent,Very High,0,20,2,7,1,7,59520,12142.08,0.015384615384615385
40,No,Travel_Frequently,Sales,5,College,Life Sciences,729,Very High,Medium,3,Sales Executive,High,Married,10475,5,Yes,21,Outstanding,High,1,20,2,18,1,12,125700,26397,0.16153846153846155
53,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,730,High,Very High,4,Research Director,Very High,Married,14814,3,No,19,Excellent,High,0,32,3,5,1,3,177768,37331.28,0.015384615384615385
41,No,Travel_Rarely,Human Resources,10,College,Human Resources,731,Medium,Medium,5,Manager,Medium,Divorced,19141,3,No,15,Excellent,Medium,3,23,2,21,12,6,229692,48235.32,0.023076923076923078
60,No,Travel_Rarely,Sales,16,Bachelor,Marketing,732,Low,High,2,Sales Executive,High,Single,5405,8,No,14,Excellent,Very High,0,10,1,2,2,2,64860,13231.439999999999,0.06153846153846154
27,No,Travel_Frequently,Research & Development,10,Bachelor,Life Sciences,733,Very High,High,3,Manufacturing Director,High,Divorced,8793,1,No,21,Outstanding,High,2,9,4,9,1,7,105516,22158.36,0.015384615384615385
41,No,Travel_Rarely,Human Resources,1,College,Human Resources,734,Very High,Medium,5,Manager,Medium,Married,19189,1,No,12,Excellent,Medium,1,22,3,22,2,10,230268,48356.28,0.015384615384615385
50,No,Travel_Rarely,Sales,8,Bachelor,Marketing,738,Very High,High,1,Sales Representative,High,Married,3875,7,No,15,Excellent,Very High,1,4,2,2,2,2,46500,9160.5,0.13846153846153847
28,Yes,Travel_Rarely,Research & Development,1,Below College,Life Sciences,741,Low,Low,1,Research Scientist,High,Single,2216,7,Yes,13,Excellent,Very High,0,10,4,7,3,7,26592,4281.312,0.8307692307692308
36,No,Non-Travel,Research & Development,8,Master,Life Sciences,742,Low,Very High,3,Research Director,Very High,Married,11713,9,No,14,Excellent,Low,1,10,2,8,0,5,140556,29516.76,0.06923076923076923
38,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,743,High,High,3,Manufacturing Director,High,Single,7861,4,Yes,14,Excellent,Very High,0,10,4,1,0,0,94332,19809.719999999998,0.09230769230769231
44,No,Non-Travel,Research & Development,24,Below College,Medical,744,Low,Low,1,Laboratory Technician,Low,Single,3708,2,No,14,Excellent,High,0,9,5,5,1,4,44496,8765.712,0.14615384615384616
47,No,Travel_Frequently,Sales,3,Bachelor,Medical,746,Very High,High,4,Sales Executive,High,Divorced,13770,9,Yes,12,Excellent,Very High,2,28,2,22,11,13,165240,34700.4,0.33076923076923076
30,No,Travel_Rarely,Sales,27,Bachelor,Marketing,747,High,High,2,Sales Executive,High,Divorced,5304,7,No,23,Outstanding,Very High,1,10,2,8,7,7,63648,12984.192,0.038461538461538464
29,No,Travel_Rarely,Sales,10,Bachelor,Life Sciences,749,High,High,1,Sales Representative,High,Single,2642,1,No,11,Excellent,High,0,1,6,1,0,0,31704,6245.688,0.46923076923076923
